order_id,delivery_days,estimated_days,delay_vs_estimated,late_days,on_time,prep_hours,transit_days,order_year,order_month,order_week,order_dow,purchase_hour,is_weekend_purchase,delay_bucket,delivery_days_bucket
10a045cdf6a5650c21e9cfeb60384c16,,12.270625,,,false,,,2018,2018-10,42,2,17,false,,
b059ee4de278302d550a3035c4cdb740,,26.155532407407406,,,false,,,2018,2018-10,42,1,20,false,,
a2ac6dad85cf8af5b0afb510a240fe8c,,12.211469907407407,,,false,,,2018,2018-10,40,2,18,false,,
616fa7d4871b87832197b2a137a115d2,,21.3540625,,,false,,,2018,2018-10,40,0,15,false,,
392ed9afd714e3c74767d0c4d3e3f477,,15.6159375,,,false,,,2018,2018-09,39,5,9,true,,
869997fbe01f39d184956b5c6bccfdbe,,28.638715277777777,,,false,,,2018,2018-09,39,2,8,false,,
5aac76cf7b07dd06fa4d50bf461d2f40,,15.500486111111112,,,false,,,2018,2018-09,39,1,11,false,,
ed3efbd3a87bea76c2812c66a0b32219,,26.42064814814815,,,false,,,2018,2018-09,38,3,13,false,,
bd35b677fd239386e9861d11ae98ab56,,13.276898148148147,,,false,,,2018,2018-09,38,0,17,false,,
ea844c92cf978ea23321fa7fe5871761,,13.585972222222225,,,false,,,2018,2018-09,37,3,9,false,,
1ad22e16129698e1a3cc11e4350d2cb7,,13.352592592592591,,,false,,,2018,2018-09,37,2,15,false,,
87ae60ef8b08ae0e5f903cacb53a6904,,14.301458333333333,,,false,,,2018,2018-09,37,1,16,false,,
21a00b08cbeb5716bbb66105e3dbd850,,9.255960648148148,,,false,,,2018,2018-09,37,0,17,false,,
a89abace0dcc01eeb267a9660b5ac126,,20.21820601851852,,,false,,,2018,2018-09,36,3,18,false,,
4d59cc2a2e7bb6c0a851725f5888a9b5,,14.381863425925928,,,false,,,2018,2018-09,36,3,14,false,,
afb61112fb99b07fe17e591c68c0c84c,,12.549861111111111,,,false,,,2018,2018-09,36,3,10,false,,
cfdfd7862e532c4ec1ed1c6a1b56d320,,10.218356481481482,,,false,,,2018,2018-09,36,0,18,false,,
0d3adebce4bebc1f80a7f36e9833f497,,28.22164351851852,,,false,,,2018,2018-09,36,0,18,false,,
4637ca194b6387e2d538dc89b124b0ee,,6.406655092592593,,,false,,,2018,2018-09,36,0,14,false,,
54282e97f61c23b78330c15b154c867d,,2.620173611111111,,,false,21.74833333333333,,2018,2018-09,36,0,9,false,,
3a3cddda5a7c27851bd96c3313412840,,30.323796296296297,,,false,,,2018,2018-08,35,4,16,false,,
