seller_id,total_orders,total_items,total_gmv,avg_delivery_days,avg_delay,avg_review_score
1f50f920176fa81dab994f9023523100,1400,1925,141007.65000000066,15.561867205584463,-10.140351170669343,3.9916536254564425
1c129092bf23f28a5930387c980c0dfc,200,219,12473.58000000001,11.582899093187223,-9.534621665817191,4.165137614678899
0dd184061fb0eaa7ca37932c68ab91c5,158,190,23296.81999999999,11.236291301169599,-10.50707419590643,3.9365079365079363
7586919161935337bf6b6d7ff5779648,11,18,1994.9300000000003,15.853189943415641,-6.0995826903292185,3.1666666666666665
6fc26fe110feebd80a433e1f012a84f9,35,72,5128.060000000001,11.437567354681075,-13.928322241512344,4.014705882352941
8581055ce74af1daba164fdbd55a40de,387,435,74584.30000000002,12.831719402060521,-8.52123388867153,4.225806451612903
974cf2cb8f4b7add98709c30df02fe10,33,33,3559.68,11.269405092592592,-13.064451774691356,4.0606060606060606
f7ccf836d21b2fb1de37564105216cc1,70,74,3910.4399999999987,11.043061897513951,-8.329059487569761,3.8194444444444446
d50d79cb34e38265a8649c383dcffd48,69,69,13904.13,13.15948587627483,-12.648997920021468,4.235294117647059
0509040ea3fe50071181bbc359eb7738,89,98,5183.099999999999,11.378378785686733,-10.06095775462963,4.5
1c56ffe0e9dea2657fc6e95b53f40b13,3,3,267.39,6.678163580246913,-8.654961419753088,4.333333333333333
8d956fec2e4337affcb520f56fd8cbfd,209,226,13923.80999999999,9.25435483539095,-9.988441100823055,4.18141592920354
5b179e9e8cc7ab6fd113a46ca584da81,33,35,5481.020000000001,12.662649140211641,-12.95650496031746,3.5
813348c996469b40f2e028d5429d3495,179,202,14800.430000000006,10.197605769230776,-10.213765254036083,4.0
36a968b544695394e4e9d7572688598f,152,160,9305.930000000004,10.727268518518523,-11.685869539411206,3.6625
a888faf2d1baececa6baf9c3d603ee1f,54,55,18887.319999999996,17.90909486454046,-10.074938485939642,4.054545454545455
282f23a9769b2690c5dda22e316f9941,99,110,8386.960000000001,11.20911845905538,-11.390240188583078,4.3
80e6699fe29150b372a0c8a1ebf7dcc8,94,96,13303.509999999998,11.175271375098504,-15.918340967297075,4.291666666666667
7d76b645482be4a332374e8223836592,176,187,6431.540000000007,13.264018480570746,-8.59410727838495,3.9297297297297296
c092292535a57dacd95a8765f5518f87,1,1,143.98,8.097824074074074,-16.229976851851852,5.0
d4e12e7884759a14fa0f5f896c791cae,29,32,1839.6699999999998,8.332578124999998,-11.587587528935188,4.625
2009a095de2a2a41626f6c6d7722678d,8,12,582.4300000000001,9.82987750771605,-11.00682002314815,3.9166666666666665
76d64c4aca3a7baf218bf93ef7fa768d,42,46,9755.84,9.74836402979066,-14.292999949677931,4.130434782608695
870d0118f7a9d85960f29ad89d5d989a,45,61,4428.029999999998,14.932304948391016,-9.39374392835458,4.016393442622951
54a1852d1b8f10312c55e906355666ee,200,204,20614.399999999994,11.517078692244231,-10.18700477860286,4.3399014778325125
ea566164622c6b439516ab18062c42cd,47,49,6136.119999999999,13.216514077853361,-7.959705687830687,3.857142857142857
25e6ffe976bd75618accfe16cefcbd0d,107,116,11892.24,9.937956972871993,-13.910676778752439,4.379310344827586
4992e76a42cb3aad7a7047e0d3d7e729,57,74,3218.5700000000006,8.29304540842212,-9.82986523338407,3.8378378378378377
432c37c9dfba871172ec162e20118b8c,46,57,3938.5400000000013,15.700738636363633,-10.64113615319866,4.175438596491228
6973a06f484aacf400ece213dbf3d946,95,115,12374.62,14.988384880829901,-6.747360468106992,3.5
